Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1879,44.3,43.7,57.6,58.9,69.8,74.9,79.6,73.9,68.7,64.3,53.9,51.5
1880,54.3,51.4,55.5,63.4,71,76.5,79.2,76.8,69.4,60.8,47.2,42.1
1881,40.1,46.6,49.1,59.1,70.8,77.8,81.1,78.8,75.5,67.2,52.6,49.6
1882,48.8,52.4,57.4,64.8,66.1,76.6,75.9,75.8,71.7,65.8,51.1,41.4
1883,43,50.2,50.2,61.6,67.4,76.4,80.1,76.2,71.3,66,53.7,48
1884,35.9,51.7,54.4,58.4,70.7,71.1,77.7,75.3,74.9,68.1,51.3,44.5
1885,40,39.2,47.2,61,66.9,76.6,78.8,77.1,70.1,57,50.6,42.8
1886,36.2,41.8,50.9,60.9,68.5,73.6,76.7,77.3,73.9,62.5,50.6,40.4
1887,39.8,52.9,51.4,61.9,72.1,75.9,77.8,76.5,71.2,59.4,52.1,41.7
1888,44.5,48.9,51,64.1,68.6,75.7,79.1,78.5,68.7,58.2,52.5,43.5
1889,43.8,41.5,52.1,62.4,68.2,73.2,78.5,74.2,70,60.2,51.7,57.2
1890,51,54.8,49.6,62.2,68.8,78.8,78.1,75.2,71.6,59.6,57.7,45.4
1891,42.5,50.4,47,62.7,67.4,77.7,75.4,76.6,72.3,59.4,49.1,47
1892,38.3,47.8,48,59,68.8,76.2,76.4,76.2,70,62.6,49.9,42.4
1893,36,46.2,51.4,64.2,67.2,74.1,80.6,77,73.1,61.6,50.8,46.6
1894,46.7,45,56.7,62,68.8,76.4,76.2,76.4,73.4,62.1,49.5,46.1
1895,40.3,34.4,51.6,60.4,67,76.8,77,77.1,76.5,59.8,52.4,43.5
1896,41.8,45.4,49.2,65.7,74.7,75.1,78.2,80.3,74.7,61.5,55.6,44.2
1897,38.8,47.7,54.9,59.8,67.9,78.7,78.4,76.1,74.4,66.1,53.2,45.3
1898,46.8,43.1,57.5,56.5,72.8,79.2,77.9,77.2,73.6,60.2,48.5,43.6
1899,42.2,39.5,53.5,59.6,74.5,79.4,79.2,80,71.7,63.7,54.5,42
1900,43,41.1,50.1,62.7,69.8,74.1,78.8,81.2,76.1,67,52.8,45.6
1901,44.1,40.9,51.6,54.8,69.4,76.7,80.3,76,70.3,61.9,47.3,39.8
