Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1894,38.8,38.2,42.7,48,53.4,58.7,64.3,65.9,57.6,50.2,47.4,39.3
1895,38.7,44.7,44.1,50.1,55.2,60.9,63.6,62,55.8,51.7,44.2,41.9
1896,42.4,44.9,42.7,46.9,52.4,60.2,67.2,63.9,56.7,52.8,38.4,44.5
1897,40,42.2,40.2,52.5,58.4,60.2,62.7,67.8,56.9,51,43.6,42.6
1898,39.9,45.6,43.4,50.1,57.1,61.4,64.6,66.3,60.8,52.2,45,40.4
1899,41.7,39.6,43.4,48.6,51.5,57.6,65,60.5,61,51.8,51.9,44.1
1900,43.8,42.3,50,51.8,56,61.9,65,62.7,58.6,51.7,44.3,45.9
1901,40.2,42.9,46,47.8,55.4,57.1,61.7,65.7,58,57.2,49.1,42.5
1902,39.8,46.4,45,50,56.5,60.6,63.6,64.4,58.4,54.3,45.8,41.8
1903,42.9,40.2,42.5,47.9,54.6,61.9,61.9,63.2,57.7,53.6,46,42.6
1904,41.8,40.2,42.6,52.7,55.1,59.7,64.2,63.6,61,54.2,49.5,43.9
1905,40.8,43.3,49.8,52.7,54.6,59.3,64.6,62.6,59.4,48.7,45.2,42.5
1906,42.5,43.8,45.5,53,54.6,58.1,67.7,64.9,58.9,53.9,45.2,42.4
1907,33.7,41.8,43.2,49.1,56.9,59.4,64.2,61.3,58.7,53.1,48,43.3
1908,41.7,41.7,44.2,49.1,51.6,58.8,65.1,62.2,57.1,50.8,48.8,39.5
1909,34.2,42,44.1,47.7,52.3,59.4,60.7,61.6,60.1,52.2,45.5,36.3
1910,39,38.3,47.6,49.4,57,57.5,62.6,60.2,57.9,52.8,45.5,42.9
1911,38,39.7,45.9,46.6,52.7,57,65,62.6,57.1,52.5,44.7,41.2
1912,42.6,43.9,44.3,48,57,60,63.4,62.2,59.2,49.9,46.2,41.6
1913,36.5,40,41.9,49,54.1,59.5,63.4,64.8,58.8,50.1,46.2,42.4
1914,43.2,42.3,47.6,51.4,57.3,58.9,64.1,63.1,56.7,54.7,47.3,39.7
1915,40.6,44.5,50,52.6,56,59.8,64.3,66.7,59.1,53.7,43.7,42
1916,30.9,41.9,44.3,49.1,52,58.9,61.1,63.5,58.8,49.1,43,38
1917,38.1,39.3,41,46.9,52.4,57.2,63.5,65.1,58.9,52.5,49.6,45
1918,43.7,39.9,44,50,52.5,61.5,63,62.6,62.3,53.3,45.9,40.9
1919,41.4,40.8,44.7,49.6,53.5,57.5,62.9,62.9,59.6,48.5,44.9,38.6
1920,40.3,40.3,44.5,45.6,51.7,58.5,64.1,64.5,57.7,50.1,46.9,43.3
1921,40.5,42.9,44.5,47.5,53.5,59.8,60.8,61.9,57,53.2,45.4,39.1
1922,35.5,39.5,41.4,46.6,54.5,60.9,62.9,62.7,59.8,53.5,43.6,38.5
1923,40.1,37.3,44,50.9,54.1,60.6,64.4,65.7,60.8,54.5,47.4,42.2
1924,41,46,44.3,49,57.4,59.9,63.5,62.4,59.5,52.9,44.6,37.3
1925,42.6,45.6,44.9,50.6,57.8,60.1,65,62.7,59.5,51.5,46,45.5
1926,42,46.7,50.4,55.9,56.4,62.8,66,64.1,57.9,55,49.4,41.7
1927,40.6,43.9,43.9,48.7,52.3,61.5,65.2,65,58.7,53.2,46.5,38
1928,42.3,43.1,48.2,48.8,58.4,59.5,65,63.1,58.4,51.7,46.8,41.5
1929,34.5,36.2,45,46.7,54.6,59.2,64.3,64.7,60.8,55.6,45.2,43.5
1930,32.8,44.3,46.7,52.7,53.4,58.8,62.9,65.3,59.4,51,44.8,43.1
1931,45.7,44.4,47.1,52.5,58.3,59.7,65.2,64.2,59.3,52.5,43.3,41.9
1932,38.5,40.9,46.4,50.7,54.9,61.8,61.1,63.2,60.5,54.1,48.8,38.9
1933,39.6,37.5,44.9,49.3,53.5,60.3,64,66.8,57.6,54,46.9,45.1
1934,45.7,48.7,52,56.5,58.9,62.2,63.9,66.5,59.5,55.2,50,44
